Club,Squad,age,Foreigners,marketvalue,Totalmarketvalue
ManchesterCityﾠ,39,24.3,23,25.74m,1000m
LiverpoolFC,49,24,28,18.75m,918.90m
ChelseaFCﾠ,44,25.1,25,20.78m,914.50m
ManchesterUnited,43,25.5,28,17.89m,769.15m
TottenhamHotspur,45,23.5,26,15.32m,689.35m
ArsenalFC,41,23.4,24,14.95m,613.05m
LeicesterCityﾠ,40,25.1,24,13.16m,526.55m
AstonVilla,44,24.2,21,11.09m,487.75m
EvertonFC,42,25.5,22,11.41m,479.05m
WolverhamptonWanderers,38,24.4,30,9.92m,376.95m
WestHamUnited,36,26,20,9.86m,354.90m
Brighton&HoveAlbion,43,24.1,30,7.40m,318.00m
NewcastleUnited,34,27.4,18,9.23m,313.90m
LeedsUnited,35,23.5,18,8.56m,299.45m
SouthamptonFC,33,25.1,18,8.31m,274.30m
BrentfordFCﾠﾠ,38,24.3,26,7.19m,273.30m
CrystalPalace,33,25.9,16,8.21m,271.05m
NorwichCityﾠ,45,24.2,28,3.63m,163.20m
WatfordFCﾠﾠ,47,25.8,36,3.32m,156.20m
BurnleyFC,35,27.3,16,3.94m,138.05m
